year type stratum sex age value 
1993 N 99 99 14 3071.78
1993 N 99 99 15 1333.16
1993 N 99 99 16 692.13
1993 N 99 99 17 1102.65
1993 N 99 99 18 2147.76
1993 N 99 99 19 1408.53
1993 N 99 99 20 758.458
1993 a 99 99 1 0
1993 a 99 99 2 0
1993 a 99 99 3 0
1993 a 99 99 4 0
1993 a 99 99 5 0
1993 a 99 99 6 0.2
1993 a 99 99 7 0.266923
1993 a 99 99 8 0.312551
1993 a 99 99 9 0.359077
1993 a 99 99 10 0.41956
1993 a 99 99 11 0.500365
1993 a 99 99 12 0.608032
1993 a 99 99 13 0.596138
1993 a 99 99 14 0.568352
1993 a 99 99 15 0.810291
1993 a 99 99 16 0.911572
1993 a 99 99 17 0.565752
1993 a 99 99 18 0.499287
1993 a 99 99 19 0.610145
1993 a 99 99 20 0.834748
