2 87 1 3 0.35 36
1 10 2 5 0.9 43
1 47 1 6 0.65 39
1 35 2 4 0.7 38
1 35 1 11 0.6 40
2 2 2 7 -9 41
1 94 2 3 0.6 37
2 86 1 6 0.55 40
1 15 1 5 0.6 37
1 11 1 9 0.68 43
1 20 2 3 0.48 34
1 35 1 4 0.6 34
1 35 1 11 0.65 39
2 9 1 3 -9 36
2 86 2 -9 0.5 38
2 88 2 2 0.15 28
1 52 2 4 0.4 33
1 34 2 4 0.5 36
2 5 2 8 -9 41
1 14 2 5 0.62 37
1 52 2 7 0.8 40
1 47 2 5 0.6 36
