#Strata	Haul	Sex	Len	Freq
2	52	3	40	1
2	53	3	38	3
2	53	3	39	7
2	53	3	40	3
2	53	3	41	4
2	53	3	38	2
2	53	3	39	1
2	53	3	40	3
2	53	3	41	1
2	54	3	29	1
2	54	3	31	1
2	54	3	33	1
2	54	3	35	2
2	54	3	36	1
2	54	3	37	1
2	54	3	38	3
2	54	3	39	2
2	54	3	40	2
2	54	3	34	1
2	54	3	36	1
2	54	3	39	1
2	54	3	41	1
2	54	3	42	1
2	55	3	32	2
2	55	3	33	1
2	55	3	35	3
2	55	3	36	1
2	55	3	38	1
2	55	3	39	1
2	55	3	41	1
2	55	3	32	1
2	55	3	33	3
2	55	3	34	2
2	55	3	36	1
2	55	3	37	3
2	55	3	38	1
2	55	3	39	1
2	56	3	35	1
2	56	3	37	5
2	56	3	39	5
2	56	3	40	1
2	56	3	35	1
2	56	3	36	1
2	56	3	37	1
2	56	3	40	2
2	57	3	34	1
2	57	3	35	3
2	57	3	36	3
2	57	3	37	2
2	57	3	38	4
2	57	3	39	3
2	57	3	41	1
2	57	3	33	1
2	57	3	37	2
2	57	3	38	4
2	58	3	36	1
2	58	3	38	1
2	58	3	39	2
2	58	3	40	1
2	58	3	41	2
2	58	3	32	1
2	58	3	35	1
2	58	3	36	2
2	58	3	37	4
2	58	3	38	3
2	58	3	39	3
2	58	3	40	1
2	58	3	41	1
2	58	3	42	1
2	59	3	34	1
2	59	3	35	3
2	59	3	36	3
2	59	3	38	3
2	59	3	39	3
2	59	3	40	3
2	59	3	38	1
2	59	3	39	3
2	59	3	40	1
2	60	3	30	1
2	60	3	32	1
2	60	3	34	3
2	60	3	35	3
2	60	3	36	2
2	60	3	37	1
2	60	3	38	1
2	60	3	39	4
2	60	3	34	1
2	60	3	35	1
2	60	3	36	1
2	60	3	37	3
2	60	3	39	1
2	60	3	40	2
2	61	3	33	1
2	61	3	36	2
2	61	3	37	2
2	61	3	38	6
2	61	3	39	2
2	61	3	40	1
2	61	3	34	1
2	61	3	37	3
2	61	3	38	1
2	61	3	39	1
2	62	3	34	1
2	62	3	35	1
2	62	3	36	1
2	62	3	37	3
2	62	3	38	1
2	62	3	39	4
2	62	3	34	1
2	62	3	36	1
2	62	3	37	5
2	62	3	38	2
2	62	3	39	4
2	62	3	40	2
2	62	3	42	1
2	63	3	37	1
2	63	3	39	4
2	63	3	40	1
2	63	3	41	2
2	63	3	34	1
2	63	3	36	1
2	63	3	37	1
2	63	3	38	1
2	63	3	39	2
2	63	3	40	1
2	63	3	41	2
2	63	3	42	1
2	64	3	31	1
2	64	3	32	1
2	64	3	33	2
2	64	3	34	1
2	64	3	35	2
2	64	3	36	1
2	64	3	37	4
2	64	3	38	3
2	64	3	41	1
2	64	3	42	1
2	64	3	33	1
2	64	3	34	1
2	64	3	36	1
2	64	3	37	1
2	65	3	32	2
2	65	3	33	2
2	65	3	35	2
2	65	3	36	1
2	65	3	37	2
2	65	3	38	1
2	65	3	41	1
2	65	3	18	1
2	65	3	29	1
2	65	3	31	1
2	65	3	33	1
2	65	3	36	1
2	65	3	37	3
2	65	3	39	1
2	66	3	22	1
2	66	3	34	1
2	66	3	35	1
2	66	3	36	1
2	66	3	38	1
2	66	3	22	1
2	66	3	27	1
2	66	3	29	1
2	66	3	31	1
2	66	3	32	2
2	66	3	34	1
2	66	3	36	2
2	66	3	38	2
2	66	3	39	1
2	67	3	29	1
2	67	3	38	1
2	67	3	39	1
2	67	3	40	2
2	67	3	42	2
2	67	3	32	2
2	67	3	35	1
2	67	3	36	1
2	67	3	37	2
2	67	3	38	2
2	67	3	39	2
2	67	3	41	2
2	67	3	42	1
2	67	3	43	1
2	68	3	27	1
2	68	3	28	1
2	68	3	32	1
2	68	3	38	2
2	68	3	41	1
2	68	3	29	1
2	68	3	30	1
2	68	3	32	1
2	68	3	36	3
2	68	3	38	2
2	68	3	39	2
2	68	3	41	2
2	68	3	43	1
2	69	3	35	1
2	69	3	36	1
2	69	3	37	2
2	69	3	38	2
2	69	3	40	1
2	69	3	41	2
2	69	3	35	1
2	69	3	37	3
2	69	3	39	3
2	69	3	40	3
2	69	3	41	2
2	69	3	42	1
1	70	3	36	1
1	70	3	37	2
1	70	3	40	3
1	70	3	42	2
1	70	3	43	1
1	70	3	33	1
1	70	3	36	1
1	70	3	41	1
1	70	3	42	1
1	70	3	43	3
1	70	3	44	1
1	71	3	40	1
1	71	3	41	2
1	71	3	42	1
