year type stratum sex age value 
2009 Biomass 2 2 10 0
2009 Biomass 2 2 11 0
2009 Biomass 2 2 12 0
2009 Biomass 2 2 13 0
2009 Biomass 2 2 14 0
2009 Biomass 2 2 15 0
2009 N_Kimura   2 2 1 793.729
2009 N_Kimura   2 2 2 8661.78
2009 N_Kimura   2 2 3 4941.99
2009 N_Kimura   2 2 4 5001.72
2009 N_Kimura   2 2 5 1465.32
2009 N_Kimura   2 2 6 2498.32
2009 N_Kimura   2 2 7 3348.98
2009 N_Kimura   2 2 8 958.689
2009 N_Kimura   2 2 9 670.3
2009 N_Kimura   2 2 10 0
2009 N_Kimura   2 2 11 0
2009 N_Kimura   2 2 12 0
2009 N_Kimura   2 2 13 0
2009 N_Kimura   2 2 14 0
2009 N_Kimura   2 2 15 0
2009 avg_wt_age 2 2 1 0.177625
2009 avg_wt_age 2 2 2 0.359029
2009 avg_wt_age 2 2 3 0.485203
2009 avg_wt_age 2 2 4 0.55973
2009 avg_wt_age 2 2 5 0.635058
2009 avg_wt_age 2 2 6 0.648357
2009 avg_wt_age 2 2 7 0.675839
2009 avg_wt_age 2 2 8 0.715952
2009 avg_wt_age 2 2 9 0.725915
2009 avg_wt_age 2 2 10 0
2009 avg_wt_age 2 2 11 0
2009 avg_wt_age 2 2 12 0
2009 avg_wt_age 2 2 13 0
2009 avg_wt_age 2 2 14 0
2009 avg_wt_age 2 2 15 0
2009 p 2 1 1 0.0163316
2009 p 2 1 2 0.124906
2009 p 2 1 3 0.084573
2009 p 2 1 4 0.105637
2009 p 2 1 5 0.0327445
2009 p 2 1 6 0.0180573
2009 p 2 1 7 0.0560179
2009 p 2 1 8 0.02419
2009 p 2 1 9 0.0344875
2009 p 2 1 10 0.00305526
2009 p 2 1 11 0
2009 p 2 1 12 0
2009 p 2 1 13 0
2009 p 2 1 14 0
2009 p 2 1 15 0
2009 p 2 2 1 0.0140033
2009 p 2 2 2 0.152815
2009 p 2 2 3 0.0871885
2009 p 2 2 4 0.0882422
2009 p 2 2 5 0.0258518
2009 p 2 2 6 0.0440764
2009 p 2 2 7 0.059084
2009 p 2 2 8 0.0169136
2009 p 2 2 9 0.0118257
2009 p 2 2 10 0
2009 p 2 2 11 0
2009 p 2 2 12 0
2009 p 2 2 13 0
2009 p 2 2 14 0
2009 p 2 2 15 0
2009 N 3 1 1 1485.37
2009 N 3 1 2 4928.67
2009 N 3 1 3 1511.6
2009 N 3 1 4 1982.19
2009 N 3 1 5 1545.22
2009 N 3 1 6 507.22
2009 N 3 1 7 1727.67
2009 N 3 1 8 1189.09
2009 N 3 1 9 1191.46
2009 N 3 1 10 227.712
2009 N 3 1 11 46.0732
2009 N 3 1 12 0
2009 N 3 1 13 0
2009 N 3 1 14 0
2009 N 3 1 15 0
2009 Biomass 3 1 1 320.742
2009 Biomass 3 1 2 1818.46
2009 Biomass 3 1 3 726.138
2009 Biomass 3 1 4 1069.32
2009 Biomass 3 1 5 870.596
2009 Biomass 3 1 6 283.25
2009 Biomass 3 1 7 1045.5
2009 Biomass 3 1 8 677.098
2009 Biomass 3 1 9 727.791
2009 Biomass 3 1 10 123.781
2009 Biomass 3 1 11 32.712
2009 Biomass 3 1 12 0
2009 Biomass 3 1 13 0
2009 Biomass 3 1 14 0
2009 Biomass 3 1 15 0
2009 N_Kimura   3 1 1 1492.44
2009 N_Kimura   3 1 2 4952.13
2009 N_Kimura   3 1 3 1518.8
2009 N_Kimura   3 1 4 1991.63
2009 N_Kimura   3 1 5 1552.57
2009 N_Kimura   3 1 6 509.634
2009 N_Kimura   3 1 7 1735.9
2009 N_Kimura   3 1 8 1194.75
2009 N_Kimura   3 1 9 1197.13
2009 N_Kimura   3 1 10 228.796
2009 N_Kimura   3 1 11 46.2925
2009 N_Kimura   3 1 12 0
2009 N_Kimura   3 1 13 0
2009 N_Kimura   3 1 14 0
2009 N_Kimura   3 1 15 0
2009 avg_wt_age 3 1 1 0.215934
2009 avg_wt_age 3 1 2 0.368955
2009 avg_wt_age 3 1 3 0.480376
2009 avg_wt_age 3 1 4 0.539461
2009 avg_wt_age 3 1 5 0.563412
2009 avg_wt_age 3 1 6 0.558436
2009 avg_wt_age 3 1 7 0.605149
2009 avg_wt_age 3 1 8 0.569425
2009 avg_wt_age 3 1 9 0.610841
2009 avg_wt_age 3 1 10 0.543587
2009 avg_wt_age 3 1 11 0.71
2009 avg_wt_age 3 1 12 0
2009 avg_wt_age 3 1 13 0
2009 avg_wt_age 3 1 14 0
2009 avg_wt_age 3 1 15 0
2009 N 3 2 1 1378.85
2009 N 3 2 2 4578.93
2009 N 3 2 3 2833.5
2009 N 3 2 4 1701.63
2009 N 3 2 5 1446.16
2009 N 3 2 6 1505.91
2009 N 3 2 7 1095.1
2009 N 3 2 8 1039.61
2009 N 3 2 9 589.525
2009 N 3 2 10 173.086
2009 N 3 2 11 0
2009 N 3 2 12 0
2009 N 3 2 13 0
2009 N 3 2 14 0
2009 N 3 2 15 0
2009 Biomass 3 2 1 327.692
2009 Biomass 3 2 2 1775.98
2009 Biomass 3 2 3 1470.38
2009 Biomass 3 2 4 1049.43
2009 Biomass 3 2 5 949.324
2009 Biomass 3 2 6 1052.03
2009 Biomass 3 2 7 778.922
2009 Biomass 3 2 8 657.801
2009 Biomass 3 2 9 440.863
2009 Biomass 3 2 10 117.997
2009 Biomass 3 2 11 0
2009 Biomass 3 2 12 0
2009 Biomass 3 2 13 0
2009 Biomass 3 2 14 0
2009 Biomass 3 2 15 0
2009 N_Kimura   3 2 1 1368.62
2009 N_Kimura   3 2 2 4544.95
2009 N_Kimura   3 2 3 2812.47
2009 N_Kimura   3 2 4 1689
2009 N_Kimura   3 2 5 1435.42
2009 N_Kimura   3 2 6 1494.74
2009 N_Kimura   3 2 7 1086.97
2009 N_Kimura   3 2 8 1031.89
2009 N_Kimura   3 2 9 585.15
